SKU,Parent SKU,File
079121010B-X,079121010B,/Users/annikaimpallomeni/Desktop/ProcessedVideos/079121010B_processed.mp4
07C115562E-X,07C115562E,/Users/annikaimpallomeni/Desktop/ProcessedVideos/07C115562E_processed.mp4
07V131354-X,07V131354,/Users/annikaimpallomeni/Desktop/ProcessedVideos/07V131354_processed.mp4
07V906461-X,07V906461,/Users/annikaimpallomeni/Desktop/ProcessedVideos/07V906461_processed.mp4
0BL398048-X,0BL398048,/Users/annikaimpallomeni/Desktop/ProcessedVideos/0BL398048_processed.mp4
3W0129620B-X,3W0129620B,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0129620B_processed.mp4
3W0129620C-X,3W0129620C,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0129620C_processed.mp4
3W0407505-X,3W0407505,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0407505_processed.mp4
3W0407506-X,3W0407506,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0407506_processed.mp4
3W0407509-X,3W0407509,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0407509_processed.mp4
3W0407510-X,3W0407510,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0407510_processed.mp4
3W0407515-X,3W0407515,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0407515_processed.mp4
3W0407694-X,3W0407694,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0407694_processed.mp4
3W0498203A-X,3W0498203A,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0498203A_processed.mp4
3W0616001C-X,3W0616001C,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0616001C_processed.mp4
3W0616002C-X,3W0616002C,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0616002C_processed.mp4
3W0823475B-X,3W0823475B,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W0823475B_processed.mp4
3W1955425D-X,3W1955425D,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3W1955425D_processed.mp4
3Z0201050-X,3Z0201050,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3Z0201050_processed.mp4
3Z0698151-X,3Z0698151,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3Z0698151_processed.mp4
3Z0698151B-X,3Z0698151B,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3Z0698151B_processed.mp4
3Z0698151E-X,3Z0698151E,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3Z0698151E_processed.mp4
3Z0963535-X,3Z0963535,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3Z0963535_processed.mp4
3Z0998001-X,3Z0998001,/Users/annikaimpallomeni/Desktop/ProcessedVideos/3Z0998001_processed.mp4
4E0615601L-X,4E0615601L,/Users/annikaimpallomeni/Desktop/ProcessedVideos/4E0615601L_processed.mp4
7542021-X,7542021,/Users/annikaimpallomeni/Desktop/ProcessedVideos/7542021_processed.mp4
CD2026-X,CD2026,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD2026_processed.mp4
CD2026NF-X,CD2026,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD2026_processed.mp4
CD2027-X,CD2027,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD2027_processed.mp4
CD237-X,CD237,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD237_processed.mp4
CD270-X,CD270,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD270_processed.mp4
CD3044-X,CD3044,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD3044_processed.mp4
CD3046-X,CD3046,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD3046_processed.mp4
CD3514-X,CD3514,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD3514_processed.mp4
CD4299-X,CD4299,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD4299_processed.mp4
CD4989-X,CD4989,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD4989_processed.mp4
CD5844-X,CD5844,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD5844_processed.mp4
CD5999GMFKT-X,CD5999GMFKT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD5999GMFKT_processed.mp4
CD6000GMF-X,CD6000GMF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6000GMF_processed.mp4
CD6077UPR-X,CD6077,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6077_processed.mp4
CD6137-X,CD6137,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6137_processed.mp4
CD6210-X,CD6210,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6210_processed.mp4
CD6241-X,CD6241,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6241_processed.mp4
CD6242-X,CD6242,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6242_processed.mp4
CD6243-X,CD6243,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6243_processed.mp4
CD6244-X,CD6244,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6244_processed.mp4
CD6248-X,CD6248,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6248_processed.mp4
CD6249-X,CD6249,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6249_processed.mp4
CD6353-X,CD6353,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6353_processed.mp4
CD6381-X,CD6381,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6381_processed.mp4
CD6586-X,CD6586,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6586_processed.mp4
CD6589-X,CD6589,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6589_processed.mp4
CD6891-X,CD6891,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD6891_processed.mp4
CD876PT-X,CD876PT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/CD876PT_processed.mp4
EB1886NF-X,EB1886NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/EB1886NF_processed.mp4
EB2701-X,EB2701,/Users/annikaimpallomeni/Desktop/ProcessedVideos/EB2701_processed.mp4
EB3998-X,EB3998,/Users/annikaimpallomeni/Desktop/ProcessedVideos/EB3998_processed.mp4
EB4039-X,EB4039,/Users/annikaimpallomeni/Desktop/ProcessedVideos/EB4039_processed.mp4
EB4204-X,EB4204,/Users/annikaimpallomeni/Desktop/ProcessedVideos/EB4204_processed.mp4
FB4123-X,FB4123,/Users/annikaimpallomeni/Desktop/ProcessedVideos/FB4123_processed.mp4
FW1502-X,FW1502,/Users/annikaimpallomeni/Desktop/ProcessedVideos/FW1502_processed.mp4
FW1903-X,FW1903,/Users/annikaimpallomeni/Desktop/ProcessedVideos/FW1903_processed.mp4
FW1970-X,FW1970,/Users/annikaimpallomeni/Desktop/ProcessedVideos/FW1970_processed.mp4
FW403-X,FW403,/Users/annikaimpallomeni/Desktop/ProcessedVideos/FW403_processed.mp4
GM8684221-X,GM8684221,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GM8684221_processed.mp4
GMF1039-X,GMF1039,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1039_processed.mp4
GMF1082-X,GMF1082,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1082_processed.mp4
GMF1093-X,GMF1093,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1093_processed.mp4
GMF1094-X,GMF1094,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1094_processed.mp4
GMF1199-X,GMF1199,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1199_processed.mp4
GMF1217-X,GMF1217,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1217_processed.mp4
GMF1242-X,GMF1242,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1242_processed.mp4
GMF1323-X,GMF1323,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1323_processed.mp4
GMF1324-X,GMF1324,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GMF1324_processed.mp4
GW1594KIT-X,GW1594KIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GW1594KIT_processed.mp4
GW399-X,GW399,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GW399_processed.mp4
GW399+020-X,GW399,/Users/annikaimpallomeni/Desktop/ProcessedVideos/GW399_processed.mp4
HOODSTRAP1-X,HOODSTRAP1,/Users/annikaimpallomeni/Desktop/ProcessedVideos/HOODSTRAP1_processed.mp4
JNV615584-X,JNV615584,/Users/annikaimpallomeni/Desktop/ProcessedVideos/JNV615584_processed.mp4
LU-281-X,LU-281,/Users/annikaimpallomeni/Desktop/ProcessedVideos/LU-281_processed.mp4
MC1315-X,MC1315,/Users/annikaimpallomeni/Desktop/ProcessedVideos/MC1315_processed.mp4
PB55612PB-X,PB55612PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PB55612PB_processed.mp4
PC113547PA-X,PC113547PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PC113547PA_processed.mp4
PC115037PA-X,PC115037PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PC115037PA_processed.mp4
PC23107PC-X,PC23107PC,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PC23107PC_processed.mp4
PD109735PA-X,PD109735PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PD109735PA_processed.mp4
PD24464PB-X,PD24464PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PD24464PB_processed.mp4
PD29195PB-X,PD29195PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PD29195PB_processed.mp4
PD57492PDGT.01-X,PD57492PDGT.01,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PD57492PDGT.01_processed.mp4
PD57492PDKIT-X,PD57492PDKIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PD57492PDKIT_processed.mp4
PF27287PB-X,PF27287PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PF27287PB_processed.mp4
PG108126PA-X,PG108126PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PG108126PA_processed.mp4
PH32862PA-X,PH32862PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PH32862PA_processed.mp4
PH32863PA-X,PH32863PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PH32863PA_processed.mp4
PJ20478PA-X,PJ20478PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PJ20478PA_processed.mp4
PP112816PA-X,PP112816PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP112816PA_processed.mp4
PP30472PB-X,PP30472PB,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP30472PB_processed.mp4
PP57568PA-X,PP57568PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP57568PA_processed.mp4
PP57569PA-X,PP57569PA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP57569PA_processed.mp4
PP59815PAPLA-X,PP59815PAPLA,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PP59815PAPLA_processed.mp4
PSTNRGST3-X,PSTNRGST3,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PSTNRGST3_processed.mp4
PW50191-X,PW50191,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PW50191_processed.mp4
PW50220-X,PW50220,/Users/annikaimpallomeni/Desktop/ProcessedVideos/PW50220_processed.mp4
RB4357MPW-X,RB4357MPW,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RB4357MPW_processed.mp4
RD3727-X,RD3727,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RD3727_processed.mp4
RD6598-X,RD6598,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RD6598_processed.mp4
RE12659-X,RE12659,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE12659_processed.mp4
RE12970-X,RE12970,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE12970_processed.mp4
RE15179-X,RE15179,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE15179_processed.mp4
RE17796-X,RE17796,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE17796_processed.mp4
RE25265-X,RE25265,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE25265_processed.mp4
RE25307-X,RE25307,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE25307_processed.mp4
RE2602-X,RE2602,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE2602_processed.mp4
RE9906NF-X,RE9906NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RE9906NF_processed.mp4
RF3440-X,RF3440,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF3440_processed.mp4
RF5373KIT-X,RF5373KIT,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF5373KIT_processed.mp4
RF7157-X,RF7157,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF7157_processed.mp4
RF7635-X,RF7635,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF7635_processed.mp4
RF8257-X,RF8257,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RF8257_processed.mp4
RG3212A-X,RG3212A,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG3212A_processed.mp4
RG5085-X,RG5085,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG5085_processed.mp4
RG6018-X,RG6018,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG6018_processed.mp4
RG6547-X,RG6547,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG6547_processed.mp4
RG6768-X,RG6768,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG6768_processed.mp4
RG8484-X,RG8484,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RG8484_processed.mp4
RH10166-X,RH10166,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH10166_processed.mp4
RH10175CTR-X,RH10175CTR,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH10175CTR_processed.mp4
RH10176-X,RH10176,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH10176_processed.mp4
RH12050-X,RH12050,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH12050_processed.mp4
RH13115NF-X,RH13115NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13115NF_processed.mp4
RH13183-X,RH13183,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13183_processed.mp4
RH13495-X,RH13495,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13495_processed.mp4
RH13521-X,RH13521,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH13521_processed.mp4
RH14073GMF-X,RH14073GMF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH14073GMF_processed.mp4
RH2082-X,RH2082,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2082_processed.mp4
RH2084-X,RH2084,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2084_processed.mp4
RH2088-X,RH2088,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2088_processed.mp4
RH2089-X,RH2089,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2089_processed.mp4
RH2453-X,RH2453,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2453_processed.mp4
RH2641-X,RH2641,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2641_processed.mp4
RH2644NF-X,RH2644NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/RH2644NF_processed.mp4
